distance,rank
50513.9765249412,39
11241.162116628899,46
33798.43926849751,16
81697.32116365808,18
28891.610160690074,47
44366.92742685097,28
69098.08640505403,44
54672.714132976835,10
25498.5741670287,28
80838.82349128893,9
69262.9360655026,50
5716.327162952182,50
82928.71417282641,18
56764.961667491116,48
19409.454802199365,33
24444.009367605548,47
10111.344460282271,22
28853.764408455983,43
63992.50032600944,42
2234.015782979748,8
44885.42802659336,35
27908.335952855723,43
94932.76961234638,2
115280.00436073719,12
18693.548860622286,26
11711.043922040137,46
29574.088058370548,6
34672.073026798425,41
15329.598897647877,19
9463.05283998789,22
78243.73081043836,24
55489.40914249721,48
44205.913931025,35
4596.14434351162,36
5574.769781785232,50
66815.87156378748,12
67601.14479368676,20
51283.13231878606,5
17722.35902052855,26
38795.08554178165,23
28857.096246268753,45
43151.92396050781,49
80968.21583692652,24
69042.05845768975,31
24225.286379655263,30
13351.329190913377,14
19934.518580237265,11
95887.99951229911,21
23379.806865414925,30
42769.237647782895,3
54021.88205836747,19
51882.12260642601,19
32032.503569103104,1
68975.02029015649,25
6780.316047800396,36
69807.97865698433,25
41688.67781047063,49
77128.30955530783,32
54164.79284925357,17
55779.28038165088,39
75031.25465224206,20
4566.984609252604,13
43076.60923926134,3
77522.5362150471,32
26351.034540178833,34
68034.355776763,29
28684.953468951797,45
73190.322314781,44
80220.02967502351,4
12436.189851107103,34
41161.95493454086,40
26959.481839085493,8
81923.71741224703,9
35724.79980575584,5
27184.37598237767,15
34640.534012883974,6
61908.15331446912,31
23308.68425370879,7
69101.61377815882,29
91580.07838335002,2
18547.000605955254,27
95515.45968845542,21
18099.029045298437,33
25893.54746629477,15
71808.55748802578,42
36741.23775248942,41
69527.82180664905,4
31144.82512503321,7
85804.54632390119,16
69796.152848971,50
48619.503874791066,17
58076.74919613839,40
55876.35395477755,10
31935.61363536583,1
4611.188085374612,14
40250.024264713895,11
38975.65974109284,23
16132.666268956653,27
38683.01051623654,39
124067.92762898486,42
230045.26081633166,48
88149.120608981,16
12377.561732435332,21
167361.2179025853,13
187440.7914620272,8
218030.14810949983,49
147517.84674469393,1
46153.87020440755,31
51348.96924158009,40
171389.6709359904,4
139308.984706603,11
72689.17951210795,38
122548.32938861614,29
229317.2937106164,48
132976.65330207418,44
169506.39548308027,28
173516.94161402818,13
15885.795437925526,10
187013.73959691662,8
192190.5834360364,28
348860.1664961749,3
67610.09639703979,49
65755.69500112502,24
99825.36230017572,18
38450.47156358812,26
73423.79037933104,38
119481.82267076932,17
50368.17155329573,40
149996.41907404547,1
23944.33896326559,21
164168.38251445294,34
122606.71833682459,29
66727.43791542313,49
20702.53096935268,32
352207.5360340674,3
165097.7048967109,4
125643.19009735445,42
51099.61648164369,31
231223.74198946235,25
128799.78354390152,9
141191.7695210615,36
171729.2676457375,39
21265.473307156462,10
227721.75204848332,23
100083.50972675206,18
59731.24074527374,27
47103.25360983232,15
42952.32616068884,41
198119.36766854578,6
113242.42645661534,16
133540.31157605237,11
62558.608933408286,46
57260.691548729854,14
92596.93925851557,19
63710.32757932923,27
67188.11319225593,24
237948.62202965922,20
88052.70406669262,12
64196.838912244406,37
152250.84006724923,35
39852.39006647804,41
136123.3003531503,19
211740.69591583803,5
39765.94238882619,39
30519.233514371892,32
62165.76421335395,2
127179.16962753843,9
91400.61146125192,43
94059.65462177154,43
164199.97124416067,39
249121.5502970688,20
28993.32733715132,14
238068.20603663495,23
125526.32694813558,44
21619.342119433237,7
23867.604919066103,7
144385.16648774056,36
148877.41157096557,35
214950.35059009335,45
43220.82412791676,30
70935.67726676218,2
231591.5548049169,25
40981.2395245324,48
90059.4695114559,12
124835.64898627164,17
53458.6368198831,33
39561.129218959155,30
202687.03957581415,6
59717.67465070813,37
54371.35402761957,46
217612.98652990168,5
32490.92025532535,26
53582.3454906767,46
214189.22260022088,45
176424.02115097997,34
